id,name,address,city_id,location,description,average_price,food_type,stars
26,Marea Seafood & Beverage,"Via Papa Gregorio XIV, 16, 20123 Milano MI, Italy",2,"45.45934613418992, 9.18255520932436","Marea offers a contemporary and international menu, with simple but not trivial and impressive dishes, all seasoned with an intimate atmosphere with excellent service",70,sea food,3
27,Trattoria Milanese," Via Santa Marta, 11, 20123 Milano",2,45.681956334033764 8.79464344705316,"Trattoria Milanese: Trattoria Milanese is a traditional restaurant in Milan that specializes in Lombardian cuisine. The menu features traditional Lombardian meat dishes, local appetizers, and famous local ",15,traditional,5
28,Ristorante Da Oscar," Via Lazzaro Palazzi, 12, 20124 Milano",2,45.47661205557028 9.205938566998217,"Ristorante Da Oscar: This restaurant stands out for its focus on sea food and fresh fish dishes. It offers a diverse selection of dishes, including sushi and sashimi, prepared with the finest ingredients and expert craftsmanship.",20,sea food,2
29,Antica Trattoria della Pesa,"Viale Pasubio, 10, 20154 Milano",2,45.48204177604911 9.184166981911137,Antica Trattoria della Pesa: Antica Trattoria della Pesa is known for its traditional Lombardian dishes. The menu includes classic dishes like Ossobuco (braised veal shanks) and grilled meats. The restaurant has a warm and rustic ambiance.,5,traditional,4
30,Paper Moon," Via Bagutta, 1, 20121 Milano",2,45.46761828741398 9.196583253100133,"Paper Moon: Paper Moon is a popular restaurant that offers a blend of Italian and international cuisine. The menu includes a variety of dishes like pasta, sea food, and pizza. It is known for its trendy atmosphere and stylish interior.",9,traditional,5
31,Savini Milano 1867,"Galleria Vittorio Emanuele II, Piazza del Duomo, 20121 Milano",2,45.465862920420356 9.190446624046208,"7. Savini Milano 1867: Located in the historic Galleria Vittorio Emanuele II, Savini Milano 1867 is a prestigious restaurant that focuses on upscale Italian cuisine. It provides a luxurious dining experience with a menu that highlights traditional Milanese flavors.",8,fast food,5
32,Luini ,"- Via Santa Radegonda, 16, 20121 Milano",2,45.46587374699259 9.19154170680182," Luini is a small bakery and restaurant famous for its delicious panzerotti. Panzerotti are deep-fried stuffed pastries filled with ingredients like cheese, tomato, and ham. It offers a quick and tasty option for a satisfying meal.",10,dessert,3
33,Trattoria Toscana ,"Via San Gerolamo Emiliani, 3, 20135 Milano",2,45.472186446447175 9.184401666546991,"Trattoria Toscana: As the name suggests, Trattoria Toscana specializes in Tuscan cuisine. The menu features authentic dishes such as ribollita (vegetable and bread soup), bistecca alla fiorentina (Florentine steak), and pappa al pomodoro (tomato and bread soup).",15,dessert,4
34,Il Salumaio di Montenapoleone ," Via Santo Spirito, 10, 20121 Milano",2,45.47000830307081 9.19465510679902,"Il Salumaio di Montenapoleone: Situated in the upscale fashion district, Il Salumaio di Montenapoleone offers a gourmet Italian dining experience. The menu includes a variety of dishes, including pasta, sea food, and meat. The restaurant's elegant ambiance adds to its charm.",35,fine dinning,3
35,Nobu Milano,"Via Manzoni, 31, 20121 Milano",2,45.47075031008216 9.192853706786142,"Nobu Milano: Nobu Milano is a well-known international restaurant chain that combines Japanese and Italian influences. The menu showcases a fusion of flavors, presenting innovative dishes that incorporate the best of both cuisines.",4,fast food,2
36,Osteria Brunello," Via Lecco, 18, 20124 Milano",2,45.47942066313086 9.185755735621779,"Osteria Brunello: Osteria Brunello is a cozy and rustic restaurant that serves classic Italian dishes. The menu includes a selection of antipasti, pasta, meat, and sea food dishes. It offers a warm and inviting atmosphere for a traditional dining experience.",5,fast food,3
37,Trippa," Via Giorgio Vasari, 3, 20135 Milano",2,45.45414628610202 9.205512887867235,"Trippa: Trippa is a restaurant that caters to adventurous eaters, specializing in dishes made with tripe. The menu features creative interpretations of tripe in traditional Italian cuisine, showcasing the versatility of this ingredient.",12,sea food,4
38,Al Garghet," Via Selvanesco, 36, 20144 Milano",2,45.42000764494944 9.192885891444492,"Al Garghet: Al Garghet is a charming restaurant known for its rustic ambiance and traditional Lombardian cuisine. It offers dishes made with locally sourced ingredients, including game meats and homemade pastas. The restaurant provides a cozy and authentic dining experience.",50,fine dinning,5
39,Ratana,"Via Gaetano de Castillia, 28, 20124 Milano",2,45.4855160690659 9.19295306445354,Ratana: Ratana is a contemporary restaurant with a modern and stylish atmosphere. It offers innovative Italian cuisine with a focus on seasonal ingredients and creative flavor combinations. The menu presents a range of dishes that showcase the chef's culinary expertise.,15,traditional,5
40,Langosteria Bistrot ,"Via Savona, 10, 20144 Milano",2,45.45564896293096 9.168584181698199,"Langosteria Bistrot: Located at Via Savona, 10, Langosteria Bistrot is a stylish sea food restaurant. It offers a contemporary and relaxed atmosphere, serving a variety of fresh sea food dishes. The menu features an array of fish, shellfish, and crustaceans, prepared with simplicity and attention to detail.",3,fast food,3
41,Torre di Pisa ,"- Viale Gorizia, 6, 20144 Milano",2,43.72309428739795 10.39265499636365,"Torre di Pisa: Situated on Viale Gorizia, 6, Torre di Pisa is a charming Italian trattoria. It combines a warm and rustic ambiance with traditional Tuscan cuisine. The menu includes classic dishes such as homemade pasta, grilled meats, and regional specialties.",12,sea food,4
42,Ristorante Da Giacomo," Ripa di Porta Ticinese, 55, 20143 Milano",2,45.46383652946612 9.190133813354366,"Ristorante Da Giacomo: Located at Via Pasquale Sottocorno, 6, Ristorante Da Giacomo is a renowned Milanese institution. It is known for its exceptional service and classic Italian cuisine. The menu features dishes made with high-quality ingredients, including fresh sea food, homemade pasta, and succulent meat dishes.",6,traditional,4
43,La Brisa,"Via Antonio Pollaiuolo, 3, 20159 Milano",2,45.46543884733888 9.180226264471559,"20. La Brisa: Situated on Via Antonio Pollaiuolo, 3, La Brisa is a trendy restaurant with a vibrant atmosphere. It offers a fusion of Italian and international flavors, with a focus on fresh and seasonal ingredients. The menu includes a variety of dishes, from sushi and ceviche to homemade pasta and wood-fired pizzas.",18,sea food,4
44,Gesto," Via Felice Casati, 22, 20124 Milano",2,45.47328657051954 9.20792156445612," Found on Via Felice Casati, 22, Gesto is a contemporary restaurant that combines Italian traditions with international influences. It offers a creative and ever-evolving menu that highlights the best of local and seasonal ingredients. The restaurant's modern and minimalist design creates a stylish dining environment.",8,dessert,5
45,Il Luogo di Aimo e Nadia ," Via Privata Raimondo Montecuccoli, 6, 20147 Milano",2,45.45855145478633 9.131206849120032,"22. Il Luogo di Aimo e Nadia: Located at Via Privata Raimondo Montecuccoli, 6, Il Luogo di Aimo e Nadia is a Michelin-starred restaurant that celebrates traditional Italian cuisine. Led by renowned chefs Aimo and Nadia Moroni, the restaurant offers a refined dining experience with dishes that showcase the heritage and craftsmanship of Italian gastronomy.",7,dessert,4
46,Il Bambino ,"Via Gian Giacomo Mora, 12, 20123 Milano",2,45.45925505032498 9.180389595643152,"23. l Bambino: Situated on Via Gian Giacomo Mora, 12, Il Bambino is a cozy trattoria that specializes in homemade pasta and traditional Italian dishes. The menu features a variety of regional specialties, accompanied by a selection of Italian wines. The warm and welcoming atmosphere makes it a popular choice among locals and visitors alike.",15,sea food,3
47,Ham Holy Burger,"Via Marghera, 34, 20149 Milano MI, Italy",2,45.4667602612668 9.151125126329418,"Essenza: Found on Via Marghera, 34, Essenza is a contemporary restaurant that focuses on organic and sustainable cuisine. The menu combines Italian flavors with international influences, offering a range of vegetarian, vegan, and gluten-free options. The restaurant's modern and eco-friendly design adds to its appeal.",25,sea food,5
48,Rita & Antonio,"Via Giacomo Puccini, 2A, 20121 Milano MI, Italy",2,45.46719124474076 9.180968105651937,"Da Puccini: Located at Via Moscova, 21, Da Puccini is a historic Milanese restaurant with a traditional ambiance. It is known for its excellent pizza, homemade pasta, and classic Italian dishes. The restaurant's nostalgic charm and friendly service create a welcoming atmosphere for diners.",10,fast food,4
49,El Brellin,"Vicolo dei Lavandai, Alzaia Naviglio Grande, 14, 20144 Milano MI, Italy",2,45.45215592958908 9.174906910985543,"26. Alzaia Naviglio Grande: Situated on Alzaia Naviglio Grande, 14, this restaurant offers a picturesque setting along the Naviglio Grande canal. It specializes in traditional Milanese cuisine, including risotto, ossobuco, and cotoletta alla Milanese. Guests can enjoy their meals while taking in the beautiful views of the canal.",10,traditional,5
50,Da Rita e Antonio ," Via Angelo Carlo Fumagalli, 1, 20143 Milano",2,45.467067121692956 9.180973749123257,"Da Rita e Antonio: Found on Via Angelo Carlo Fumagalli, 1, Da Rita e Antonio is a family-run trattoria that has been serving authentic Italian cuisine for decades. The menu features homemade pasta, hearty meat dishes, and delectable desserts, all prepared with love and at",15,sea food,4
51,Officina del Gelato,"Via Giovanni Battista Morgagni, 9, 20129 Milano",2,45.481301370914 9.16881261369298,"28. Officina del Gelato: Located at Via Giovanni Battista Morgagni, 9, Officina del Gelato is a popular gelateria in Milan. It offers a wide range of artisanal gelato flavors, made with high-quality ingredients. Guests can indulge in creamy gelato creations, including both classic and innovative flavors.",60,fine dinning,5
52,Le Specialita," Via Giovanni Battista Morgagni, 12, 20129 Milano",2,45.46292777384719 9.210440749121096,"Le Specialita: Situated on Via Giovanni Battista Morgagni, 12, Le Specialita is a charming Italian restaurant that focuses on traditional recipes and flavors. The menu includes a variety of pasta dishes, grilled meats, and homemade desserts, all prepared with passion and expertise.",45,fine dinning,5
53,Gli Orti Del Belvedere ,"30.  Via Giuseppe Ripamonti, 124, 20141 Milano",2,45.45498126340972 9.199999750959792,"Gli Orti Del Belvedere: Found on Via Giuseppe Ripamonti, 124,20141 Milano, Gli Orti Del Belvedere is a restaurant nestled in a picturesque setting. It offers a peaceful and romantic atmosphere with a beautiful garden. The menu features a blend of Italian and Mediterranean cuisine, with a focus on fresh and seasonal ingredients. Guests can enjoy dishes such as grilled vegetables, homemade pasta, and flavorful sea food preparations.",12,fast food,5
54,Pizzeria Di Matteo,"Via dei Tribunali, 94",3,40.851407542858645  14.257912593972819,"La Pergola is an exquisite fine dining restaurant located in Rome. Situated on Via Alberto Cadlolo, it offers a Pizzeria Di Matteo - Traditional pizzeria known for its delicious Neapolitan pizza.",40,fine dinning,4
55,Ristorante A Figlia d'O Luciano,"Piazza Enrico de Nicola, 38, 80100 Napoli NA, Italy",3,"40.8554542280708, 14.264285663975125","Ristorante A Figlia d’O Luciano is a charming family-run restaurant located in the heart of Naples, Italy. The menu offers a wide selection of seafood dishes and pasta, all prepared with fresh ingredients. ",5,traditional,3
56,Sorbillo,"Via Port'Alba, 18",3,40.88514205573757  14.253775100577771,"Sorbillo - Popular pizzeria offering a wide selection of traditional and creative pizzas culinary creations, using the finest ingredients to deliver a gourmet experience. With its elegant atmosphere, knowledgeable staff, and a menu that combines traditional and innovative flavors, Roscioli promises an unforgettable gastronomic journey.",50,fine dinning,5
57,Antica Pizzeria Port'Alba,"Via Port'Alba, 18",3,40.849493705837986  14.251763732302726,"Antica Pizzeria Port'Alba - Historic pizzeria serving authentic Neapolitan pizza since 1738. fresh and flavorful options. While the ambiance is casual, the focus is on serving delicious sea food prepared with care. Trattoria Da Danilo is a great choice for sea food enthusiasts looking for a relaxed dining experience.",20,sea food,2
58,L'Antica Pizzeria Da Michele ," Via Sersale, 1/3",3,40.84987800512584  14.263300203475502,"L'Antica Pizzeria Da Michele - Renowned pizzeria known for its simple yet flavorful pizzas. range of classic dishes prepared with fresh ingredients and authentic flavors. With its warm and welcoming atmosphere, Tonnarello provides a memorable dining experience for those seeking a taste of traditional Roman cuisine.",7,traditional,4
59,Trattoria da Nennella," Vico Lungo Teatro Nuovo, 103",3,40.844788691622206  14.24981637559162,"Trattoria da Nennella - Cozy trattoria serving traditional Neapolitan dishes and pizza. cuisine, offering a menu that showcases the rich flavors of the region. With its cozy and rustic ambiance, attentive service, and dishes prepared with passion, Armando al Pantheon guarantees an authentic and satisfying dining experience.",9,traditional,5
60,Pizzeria Brandi," Salita Sant'Anna di Palazzo, 1/2",3,40.83687391491223 14.246816103408605,"Kathmandu is a fast-food restaurant located on Via Buonarroti. It offers a diverse menu featuring a variety of fast-food options. Whether you're in the mood for burgers, sandwiches, or other quick bites, Kathmandu provides a convenient Pizzeria Brandi - Historic pizzeria where the Margherita pizza was invented in 1889.",6,fast food,5
61,Osteria La Mattonella," Via Porta San Gennaro, 13",3,40.836740180841694  14.244088261179648,Osteria La Mattonella - Charming osteria offering a variety of traditional Italian dishes.,6,dessert,3
62,Pizzeria Starita a Materdei,"Via Materdei, 27/28",3,40.856053008607724  14.246337888094747,"Pizzeria Starita a Materdei - Family-run pizzeria known for its wood-fired pizzas and cozy atmosphere. specializing in Italian desserts. From classic tiramisu to a variety of sweet delights, La Taverna dei Fori Imperiali is a must-visit for dessert lovers.",8,dessert,4
63,Pizzeria Gino Sorbillo," Via dei Tribunali, 32",3,40.85095530871094  14.255350162909323,Pizzeria Gino Sorbillo - Vibrant pizzeria known for its creative toppings and high-quality ingredients.,30,fine dinning,3
64,Ristorante Pizzeria Trianon," Via Pietro Colletta, 44",3,40.85031270432861  14.263651545800974,"Ristorante Pizzeria Trianon - Classic pizzeria offering a range of delicious pizzas and traditional Italian cuisine. burgers, fries, and milkshakes. With its casual and vibrant atmosphere, Five Guys is a go-to spot for a quick and satisfying meal.",8,fast food,2
65,Trattoria Pizzeria Napoli In Bocca ," Via Cesare Rosaroll, 31",3,40.83818197766949 14.24981406107985,"Trattoria Pizzeria Napoli In Bocca - Welcoming trattoria serving authentic Neapolitan dishes and tasty pizzas. including burgers, fries, and chicken sandwiches. McDonald's provides a convenient and familiar dining experience for those looking for a quick bite to eat.",7,fast food,3
66,Pizzeria 50 Kalo,"Piazza Sannazaro, 201/B",3,40.8285097807856  14.22021458807277,Pizzeria 50 Kalo - Modern pizzeria known for its innovative pizzas and high-quality ingredients.,12,sea food,4
67,Pizzeria La Notizia,"Via Caravaggio, 53/55",3,40.83579003052126 14.209932758770208,Pizzeria La Notizia - Gourmet pizzeria offering a variety of artisanal pizzas with unique flavors.,30,fine dinning,5
68,Pizzeria Di Matteo,"Via dei Tribunali, 94",3,40.85144594082219  14.257978432253577,Pizzeria Di Matteo - Famous pizzeria known for its thin and crispy Neapolitan-style pizzas.,8,traditional,5
69,McDonald's,"Via Medina, P.za Municipio, 37/38/39, 80133 Napoli NA, Italy",3,40.8415809317675 14.251858368174842,"Classic, long-running fast-food chain known for its burgers & fries.",5,fast food,3
70,Pizzeria Lombardi a Santa Chiara," Via Benedetto Croce, 59/61",3,40.847847167265996  14.253333618853633,"Pizzeria Lombardi a Santa Chiara - Historic pizzeria known for its traditional pizzas and cozy ambiance. excellence, it offers a diverse menu featuring a variety of sea food delicacies. From fresh fish to shellfish, Ristorante Crispi 19 ensures high-quality ingredients and skillful preparation. The restaurant's warm and inviting atmosphere, combined with attentive service, creates an enjoyable dining experience for sea food lovers.",14,sea food,4
71,Pizzeria I Decumani," Via dei Tribunali, 58/59",3,40.85102381847173  14.256783316956813,"Pizzeria I Decumani - Authentic pizzeria offering a range of delicious pizzas with fresh ingredients. ambiance, the restaurant offers a range of traditional dishes prepared with care and attention to detail. From homemade pasta to classic meat and fish dishes, Ai Tre Scalini aims to provide a genuine taste of Roman cuisine. With its friendly staff and cozy setting, it's a great place to experience the flavors of traditional Italian cooking.",6,traditional,4
72,Pizzeria Pellone ," Via Nazionale, 93",3,40.858086227761625  14.2741649131498,"Pizzeria Pellone - Popular pizzeria known for its generous toppings and flavorful pizzas. offers a wide range of culinary delights. From expertly prepared fish to flavorful shellfish, the restaurant takes pride in using high-quality ingredients to create memorable dining experiences. With its charming atmosphere and attentive service, Chinappi provides a welcoming environment for sea food enthusiasts.",15,sea food,4
73,Pizzeria da Attilio," Via Pignasecca, 17",3,40.84528196513738  14.248216974678268,Pizzeria da Attilio - Charming pizzeria serving classic Neapolitan-style pizzas with a variety of toppings.,10,dessert,5
74,Pizzeria Vesi,"Via Giulio Cesare, 37",3,40.85150626171752  14.250502267013973,"Pizzeria Vesi - Family-run pizzeria offering a wide selection of traditional and creative pizzas. traditional Italian gelato flavors. With its rich and creamy textures, Giolitti's gelato has garnered a strong following over the years. The charming vintage decor and friendly service provide a nostalgic atmosphere, making it a favorite spot for locals and tourists alike.",8,dessert,4
75,Pizzeria Di Matteo," Via dei Tribunali, 94",3,40.85138913315054  14.257999889890284,"Pizzeria Di Matteo - Well-known pizzeria serving delicious Neapolitan pizzas in a friendly atmosphere. range of sea food dishes prepared with fresh ingredients. From classic Italian sea food pasta to grilled fish specialties, Pierluigi aims to provide a satisfying dining experience. The restaurant's rustic yet elegant ambiance adds to its charm, making it a popular choice for sea food lovers.",15,sea food,3
76,Pizzeria President ," Via del Cerriglio, 10",3,40.85165256612947  14.259623719002825,Pizzeria President - Cozy pizzeria offering a variety of pizzas with a thin and crispy crust.,25,sea food,5
77,Pizzeria Salvo ," Via Cariati, 15",3,40.83502534280741  14.238496858367377,Pizzeria Salvo - Traditional pizzeria known for its authentic Neapolitan-style pizzas and warm hospitality.,8,fast food,4
78,McDonald's,"Via Medina, P.za Municipio, 37/38/39, 80133 Napoli NA, Italy",3,"40.84123175771096, 14.252097687224781","Classic, long-running fast-food chain known for its burgers & fries.",12,fast food,3
79,Casa Infante,"Via Toledo, 258, 80132 Napoli NA, Italy",3,"40.839085269770756, 14.247806133564705","Casa Infante in Naples, Italy, is renowned for its artisanal gelato, made with genuine ingredients and a commitment to quality. Don’t miss the chance to indulge in their delightful creations! ",10,dessert,5
80,Veritas Restaurant,"C.so Vittorio Emanuele, 141, 80121 Napoli NA, Italy",3,"40.83824541494113, 14.231461729546373","Veritas Restaurant in Naples, Italy, offers a delightful culinary experience with its authentic Neapolitan flavors and warm ambiance.",50,fine dinning,4
81,Trattoria Da Nennella ,"Vico Lungo Teatro Nuovo, 103",3,40.9584796703584  14.284483771524915,Trattoria Da Nennella - Homely trattoria serving traditional Neapolitan dishes and tasty pizza.,4,traditional,3
82,Pizzeria Pirozzi," Via San Gennaro, 13",3,40.73390181796779  13.956073772828194,Pizzeria Pirozzi - Friendly pizzeria known for its tasty pizzas and relaxed atmosphere.,10,sea food,4
